ObsID,EXCLUDE_PN,EXCLUDE_MOS1,EXCLUDE_MOS2
0677700138,T,T,T
0093031601,T,T,T
0505380101,T,T,T
0677670139,T,T,T
0093030801,T,T,T
0677650131,T,T,T
0677760132,T,T,T
0554560901,T,T,T
0761590601,T,T,T
0037981301,T,T,T
0693661701,T,T,T
0677720134,T,T,T
0603590201,T,T,T
0652010201,T,T,T
0404967201,T,T,T
0650384701,T,T,T
0604873431,T,T,T
0723161601,T,T,T
0760740101,T,T,T
0403760101,T,T,T
0652460101,T,T,T
0677681240,T,T,T
0404960201,T,T,T
0605000801,T,T,T
0150970101,T,T,T
0761590101,T,T,T
0046940101,T,T,T
0744370301,T,T,T
0744370401,T,T,T
0722660301,T,T,T
0650382601,T,T,T
0148250101,T,T,T
0303930201,T,T,T
0112231901,T,T,T
0112231801,T,T,T
0093031801,T,T,T
0093030901,T,T,T
0093031101,T,T,T
0093031401,T,T,T
0093031501,T,T,T
0093031001,T,T,T
0762871001,T,T,T
0827350401,T,T,T
0677680132,T,T,T
0677820131,T,T,T
0605000901,T,F,F
0743950301,T,T,T
0743950101,T,F,F
0677840134,T,F,F
