name,Tx_500,Tx_500-,Tx_500+,Lx52_500,Lx52_500-,Lx52_500+,Lxbol_500,Lxbol_500-,Lxbol_500+,Tx_500ce,Tx_500ce-,Tx_500ce+,Lx52_500ce,Lx52_500ce-,Lx52_500ce+,Lxbol_500ce,Lxbol_500ce-,Lxbol_500ce+,Tx_500wl,Tx_500wl-,Tx_500wl+,Lx52_500wl,Lx52_500wl-,Lx52_500wl+,Lxbol_500wl,Lxbol_500wl-,Lxbol_500wl+,Tx_500wlce,Tx_500wlce-,Tx_500wlce+,Lx52_500wlce,Lx52_500wlce-,Lx52_500wlce+,Lxbol_500wlce,Lxbol_500wlce-,Lxbol_500wlce+
Abell2697,7.01859,0.1234256029999993,0.1237890300000001,4.661697511000001e+44,2.1890141681972002e+42,3.1263119780269903e+42,1.7984023980000002e+45,1.427688532696188e+43,1.8516896390462522e+43,6.97587,0.1710130639999993,0.1684145890000001,3.149198007e+44,1.6157244055828804e+42,2.1289579628606402e+42,1.2096981780000001e+45,1.7503206131822113e+43,1.8664826483703682e+43,6.98876,0.123618811,0.1241735029999997,4.635641209000001e+44,3.1960568289648305e+42,1.5835531905447903e+42,1.7838655130000002e+45,1.9031052010349282e+43,1.1459033410490551e+43,6.9397,0.1726940670000001,0.1673216249999995,3.14951203e+44,2.4568841909751002e+42,2.83316603756436e+42,1.2063787180000002e+45,1.5584034134527744e+43,1.469987690047144e+43
Abell0068,7.32504,0.1927106260000002,0.1905025999999994,4.150691097000001e+44,2.89020328245588e+42,3.136965779740461e+42,1.6357824870000003e+45,2.2115272361044522e+43,2.0446967049680012e+43,6.86634,0.2332300199999997,0.2521985529999995,2.668913334e+44,1.79156974429624e+42,2.2892828530949704e+42,1.017570898e+45,2.2065397184299903e+43,2.1918652136619222e+43,7.5191,0.185710588,0.1932069749999998,3.9849970070000005e+44,2.55136851695826e+42,3.32979075846457e+42,1.588068053e+45,2.0858917358354853e+43,1.9128940083694693e+43,7.35097,0.2638216450000001,0.2526835309999997,2.7100676610000002e+44,2.40309702392882e+42,2.1646426129585902e+42,1.06533763e+45,1.4605254352548642e+43,1.7123514363507133e+43
Abell2813,7.00364,0.1423314089999996,0.1427591570000004,5.139573162e+44,5.85428282160754e+42,6.95206761661394e+42,1.985682541e+45,3.157186674642964e+43,3.371747938140315e+43,6.7944,0.1757951010000003,0.1790160579999993,3.4120458910000004e+44,5.096230206361221e+42,5.12541739855168e+42,1.2953410380000001e+45,2.2044895238960632e+43,3.2863697744410133e+43,7.06927,0.1449396830000004,0.1453786539999999,5.224020589000001e+44,7.098485569111471e+42,5.5397468173917604e+42,2.0267122160000002e+45,2.889749450775341e+43,2.456261592679657e+43,6.8301,0.1838093809999996,0.1988657930000004,3.376297331e+44,6.35089260370825e+42,5.2287062860539305e+42,1.2839364330000002e+45,2.411491006438531e+43,2.390862406781628e+43
Abell0115S,5.88184,0.1188665070000007,0.1194608209999996,2.425030853e+44,1.3738306556649701e+42,2.1814827703173604e+42,8.536088776e+44,8.35321788076127e+42,1.065264867557058e+43,5.88775,0.1265885759999996,0.1269976960000001,2.1942467280000002e+44,1.0974175993018601e+42,1.60238682040429e+42,7.735326592000001e+44,1.0859518461728392e+43,1.141529708266792e+43,6.0148,0.1117966140000001,0.1261338680000001,2.7840612450000005e+44,1.65551218013649e+42,2.1029217782593103e+42,9.935210401000001e+44,9.577691128309791e+42,1.0758489935888371e+43,6.08086,0.133852611,0.1531364339999994,2.426935974e+44,1.8042734663315302e+42,2.13501037583544e+42,8.715431771000002e+44,1.0467166640463461e+43,8.791978280541361e+42
Abell141,5.81333,0.1357039179999999,0.1250542480000005,3.679582631e+44,2.91394462063026e+42,3.3763018470829907e+42,1.2911335800000001e+45,1.8856756845031481e+43,1.6994908450790742e+43,5.71592,0.1215471539999999,0.1536863400000001,3.3395847070000004e+44,1.8558550900550602e+42,2.3131617332963105e+42,1.1626087510000001e+45,1.637120736325517e+43,1.598033690441319e+43,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ZwCl0104.4+0048,3.11123,0.0386616449999999,0.038750255,3.921752783e+44,2.6197723323495802e+42,2.5938331073853403e+42,1.0291181350000001e+45,9.877462048007781e+42,7.532288394131161e+42,3.45631,0.0894112440000003,0.0861166589999999,1.7162620570000002e+44,1.70135398219055e+42,2.43723665742203e+42,4.706982259000001e+44,5.39780463514718e+42,7.687285557801201e+42,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Abell0209,6.90103,0.1419743070000008,0.1407921429999996,4.2594094970000005e+44,3.3726336968266104e+42,3.3337704630755005e+42,1.6297727940000002e+45,1.6501033397154612e+43,1.6759152922355752e+43,7.13789,0.1751181519999995,0.1915925020000006,3.137825586e+44,2.7309969945789703e+42,3.4784173931629305e+42,1.216447337e+45,1.056666502572898e+43,1.7925369489443263e+43,6.96393,0.1413225800000006,0.1401417789999994,4.827035890000001e+44,3.81626300403072e+42,3.3663812792202206e+42,1.853135309e+45,1.719193112125523e+43,2.0342623806711424e+43,7.23733,0.1933717780000003,0.2273572530000001,3.2706775240000003e+44,2.74428111593381e+42,3.04899985909861e+42,1.274936457e+45,1.9479353095721343e+43,1.5079991777122982e+43
Abell0267,6.0507,0.1606570209999995,0.1811936640000002,3.407519941e+44,3.3948318733743306e+42,3.955225269958071e+42,1.226188333e+45,2.306177937253246e+43,2.073260521324642e+43,5.90135,0.23272329,0.2459477740000002,2.101084914e+44,2.5030357514294902e+42,3.4778741581750606e+42,7.458932643000001e+44,1.431875502469415e+43,1.775702689337037e+43,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Abell0291,3.6669,0.057162635,0.0577261230000001,2.9262474780000004e+44,3.12160709510915e+42,1.89916703245313e+42,8.281901773e+44,1.00109114484181e+43,9.152976289241691e+42,4.13435,0.1268487990000002,0.1254729479999996,1.429945748e+44,1.4470052761991603e+42,2.05831873335753e+42,4.257057198e+44,5.74035522073405e+42,7.3334859852209e+42,3.74132,0.0601961759999998,0.0602642979999998,3.0080806430000002e+44,2.18443222444094e+42,1.8948404501026603e+42,8.594723441e+44,7.114144216857351e+42,9.360784786545662e+42,4.40827,0.1492594199999999,0.152453082,1.3471266410000001e+44,1.8818920869176303e+42,1.3960784521641702e+42,4.138178353e+44,1.0617819180762772e+43,6.852689492566811e+42
Abell0383,4.01523,0.0463096849999997,0.0462393739999997,3.2424211670000002e+44,1.79020285999816e+42,1.54965116554019e+42,9.569023989e+44,6.05005536792122e+42,8.485852481843751e+42,4.38929,0.1143990779999999,0.1142422840000003,1.3948923840000001e+44,1.2792271289031501e+42,1.7148754817248702e+42,4.273249405e+44,5.2642861905556404e+42,7.57790775182613e+42,4.05438,0.0487998200000001,0.0562428170000002,3.351052889e+44,1.61504057187615e+42,1.81178624432486e+42,9.933661758e+44,8.42353115355467e+42,7.76829027365399e+42,4.51295,0.1281267530000001,0.1358701409999998,1.351517672e+44,1.39684703648623e+42,1.1353760175215101e+42,4.1957130560000004e+44,7.773363500749391e+42,8.230535599069951e+42
