name,ra,dec,z,sample,alt_name,alt_samp
SDSSXCS-124,0.80057775,-6.0918182,0.2474828,SDSSRM-XCS,Abell2697,LoCuSS
SDSSXCS-2789,0.95553986,2.068019,0.105285384,SDSSRM-XCS,,
SDSSXCS-290,2.7226392,29.161021,0.34849474,SDSSRM-XCS,,
SDSSXCS-1018,4.4063253,-0.87619162,0.21440332,SDSSRM-XCS,,
SDSSXCS-134,4.9083898,3.6098177,0.27730444,SDSSRM-XCS,,
SDSSXCS-119,8.464699000000001,-7.8629006,0.3041736,SDSSRM-XCS,,
SDSSXCS-209,9.2768176,9.1571879,0.26882175,SDSSRM-XCS,Abell0068,LoCuSS
SDSSXCS-15,11.62825,20.467691,0.103966124,SDSSRM-XCS,,
SDSSXCS-71,13.996563,26.330304,0.1961017,SDSSRM-XCS,Abell0115S,LoCuSS
SDSSXCS-5020,16.061785,25.086602,0.16580287,SDSSRM-XCS,,
SDSSXCS-2346,16.448217,-0.34013597,0.30077308,SDSSRM-XCS,,
SDSSXCS-586,16.541518,0.85239023,0.26237586,SDSSRM-XCS,,
SDSSXCS-11331,16.7056,1.0568871000000002,0.25354633,SDSSRM-XCS,ZwCl0104.4+0048,LoCuSS
SDSSXCS-28849,17.953107,-0.017865822,0.2743446,SDSSRM-XCS,,
SDSSXCS-31144,18.604062,0.49461554,0.34936443,SDSSRM-XCS,,
SDSSXCS-239,28.175568,1.0081747,0.2275947,SDSSRM-XCS,Abell0267,LoCuSS
SDSSXCS-395,28.392295,-1.3044994,0.23913085,SDSSRM-XCS,,
SDSSXCS-944,29.282447,-5.876032299999999,0.13098373,SDSSRM-XCS,,
SDSSXCS-593,29.603929,-1.7817758999999995,0.15635921,SDSSRM-XCS,,
SDSSXCS-35404,30.191204,-6.708112599999999,0.3417674,SDSSRM-XCS,,
SDSSXCS-7190,30.329494,-6.831854700000001,0.3445764,SDSSRM-XCS,,
SDSSXCS-7783,30.429572,-2.1962592,0.19421071,SDSSRM-XCS,Abell0291,LoCuSS
SDSSXCS-5743,31.351861,-5.7303361,0.2942178,SDSSRM-XCS,XLSSC-106,XXL-100-GC
SDSSXCS-1131,33.111835,-5.6262911,0.29934615,SDSSRM-XCS,XLSSC-111,XXL-100-GC
SDSSXCS-29799,33.116431,-6.077833999999998,0.321067,SDSSRM-XCS,,
SDSSXCS-852,33.671952000000005,-4.5538512,0.14673696,SDSSRM-XCS,,
SDSSXCS-5830,34.052451,-4.2406364000000005,0.1525001,SDSSRM-XCS,XLSSC-57,XXL-100-GC
SDSSXCS-5977,35.868932,-8.868980699999998,0.16795832,SDSSRM-XCS,,
SDSSXCS-16227,36.300933,-6.3847585,0.19789001,SDSSRM-XCS,,
SDSSXCS-2984,36.432967,-3.1964353,0.14258845,SDSSRM-XCS,,
SDSSXCS-6955,36.45483,-5.894147599999998,0.22277066,SDSSRM-XCS,XLSSC-55,XXL-100-GC
SDSSXCS-64824,36.843741,-3.3619065000000004,0.3426217,SDSSRM-XCS,XLSSC-10,XXL-100-GC
SDSSXCS-8366,37.655177,-4.991535400000001,0.3052906,SDSSRM-XCS,,
SDSSXCS-120,37.927216,-4.8818112000000005,0.18926916,SDSSRM-XCS,XLSSC-91,XXL-100-GC
SDSSXCS-572,42.013961,-3.5287329,0.18832776,SDSSRM-XCS,Abell0383,LoCuSS
SDSSXCS-226,42.04981400000001,-2.2736092,0.23501849,SDSSRM-XCS,,
SDSSXCS-22,113.08444,31.630877,0.18051074,SDSSRM-XCS,Abell0586,LoCuSS
SDSSXCS-103,117.70904,17.69577,0.18393488,SDSSRM-XCS,,
SDSSXCS-212,125.82697,15.96613,0.15643018,SDSSRM-XCS,,
