Name,z,log10n0.5,log10n0.5_err,log10M0.5,log10M0.5_err
Abell2104,0.15,1.44,0.08,14.53,0.06
Abell1914,0.17,1.72,0.06,14.54,0.05
MS0440.5+0204,0.19,1.29,0.09,14.40,0.09
Abell520,0.20,1.42,0.08,14.53,0.06
Abell2163,0.20,1.49,0.07,14.62,0.06
Abell223N,0.21,1.43,0.08,14.48,0.07
Abell223,0.21,1.42,0.08,14.40,0.08
Abell222,0.21,1.50,0.07,14.48,0.07
Abell1942,0.22,1.63,0.06,14.49,0.05
Abell2111,0.23,1.62,0.06,14.53,0.06
Abell1835,0.25,1.71,0.06,14.66,0.04
Abell1758E,0.28,1.64,0.06,14.62,0.05
Abell1758W,0.28,1.64,0.06,14.61,0.05
Abell959,0.29,1.71,0.06,14.67,0.05
Abell611,0.29,1.52,0.08,14.52,0.08
MS1008.1-1224,0.30,1.62,0.07,14.54,0.07
Abell370,0.38,1.87,0.05,14.76,0.06
Abell851,0.41,1.67,0.06,14.71,0.04
MS1621.5+2640,0.43,1.43,0.08,14.62,0.07
RXJ1347.5-1145,0.45,1.52,0.08,14.68,0.06
RXJ1524.6+0957,0.52,1.34,0.09,14.45,0.12
MS0015.9+1609,0.55,1.81,0.05,14.82,0.05
MS0451.6-0305,0.55,1.70,0.06,14.56,0.09
