name,z,Tx,Tx_err,r200,r200_err,m2500,m2500_err,m1000,m1000_err,m500,m500_err,m200,m200_err,robs/r200,delta_obs
A1983,0.0442,2.18,0.09,1103,136,0.43,0.09,0.77,0.22,1.09,0.37,1.59,0.61,0.38,1455
MKW9,0.0382,2.43,0.24,1006,84,0.41,0.07,0.66,0.14,0.88,0.20,1.20,0.30,0.41,1401
A2717,0.0498,2.56,0.06,1096,44,0.45,0.04,0.79,0.08,1.10,0.12,1.57,0.19,0.54,727
A1991,0.0586,2.71,0.07,1106,41,0.58,0.05,0.91,0.09,1.20,0.12,1.63,0.18,0.60,655
A2597,0.0852,3.67,0.09,1344,49,1.08,0.07,1.69,0.14,2.22,0.22,3.00,0.33,0.57,713
A1068,0.1375,4.67,0.11,1635,47,1.47,0.07,2.69,0.16,3.87,0.28,5.68,0.49,0.58,622
A1413,0.1430,6.62,0.14,1707,57,2.33,0.13,3.66,0.27,4.82,0.42,6.50,0.65,0.79,339
A478,0.0881,7.05,0.12,2060,112,3.12,0.31,5.43,0.70,7.57,1.11,10.8,1.8,0.58,650
PKS0745-191,0.1028,7.97,0.28,1999,77,3.32,0.23,5.41,0.49,7.27,0.75,10.0,1.2,0.57,694
A2204,0.1523,8.26,0.22,2075,77,3.62,0.22,6.11,0.51,8.39,0.81,11.8,1.3,0.61,580
