codex_id,spiders_id,ra_opt,dec_opt,ra_xray,dec_xray,filters,spec_z,sdss_rm_z,sdss_rm_richness,sdss_rm_richness_err,cfht_rm_z,cfht_rm_richness,cfht_rm_richness_err,m200,m200_err+,m200_err-,m200_errsys,lx,lx_err
16566,1_2639,08:42:31,47:49:19,08:42:28,47:50:03,ugriz,0.382,0.368,108,7,0.383,120,3,14.61,0.2,0.29,0.02,3.1,1.2
24865,1_5729,08:22:42,41:27:30,08:22:45,41:28:09,ugriz,0.486,0.477,138,23,0.487,91,3,14.91,0.19,0.27,0.03,4.9,1.7
24872,1_5735,08:26:06,40:17:31,08:25:59,40:15:19,ugriz,0.402,0.391,149,10,0.407,116,4,14.76,0.23,0.35,0.02,5.4,1.3
24877,1_5740,08:24:27,40:06:19,08:24:40,40:06:53,ugriz,0.592,0.539,63,59,0.593,71,4,15.28,0.18,0.24,0.03,4.9,2.0
24981,1_5830,08:56:13,37:56:16,08:56:14,37:55:52,ugriz,0.411,0.411,123,12,0.407,107,3,14.68,0.23,0.34,0.02,7.6,1.9
25424,1_6220,11:30:56,38:25:10,11:31:01,38:24:42,ugriz,0.509,0.513,65,17,0.51,69,3,14.51,0.23,0.35,0.02,5.5,2.1
25953,1_6687,14:03:44,38:27:04,14:03:42,38:27:38,ugriz,0.478,0.484,131,19,0.478,88,3,14.7,0.2,0.29,0.03,4.6,1.3
27940,1_7312,00:20:09,34:51:18,00:20:10,34:53:36,ugriz,0.449,0.46,116,24,0.463,89,3,14.82,0.21,0.31,0.03,9.2,2.1
27974,2_6669,00:08:51,32:12:24,00:08:55,32:11:12,ugriz,0.475,0.491,100,25,0.469,75,3,14.74,0.19,0.26,0.03,8.1,3.6
29283,1_7697,08:04:35,33:05:08,08:04:36,33:05:27,ugriz,0.549,0.536,129,30,0.552,107,3,15.02,0.21,0.3,0.03,7.0,2.3
29284,1_7698,08:03:30,33:01:47,08:03:30,33:02:06,ugriz,0.55,0.557,122,33,0.541,68,3,14.5,0.31,0.61,0.03,4.9,1.9
35361,1_11298,14:56:11,30:21:04,14:56:13,30:21:12,ugriz,0.414,0.411,103,9,0.411,98,3,14.76,0.18,0.23,0.03,6.0,1.3
35399,1_11334,15:03:03,27:54:58,15:03:10,27:55:00,ugriz,0.516,0.534,153,31,0.517,81,3,14.87,0.19,0.26,0.03,4.8,1.8
41843,1_14643,23:40:45,20:52:04,23:40:45,20:53:02,ugriz,0.434,0.435,119,13,0.436,75,3,14.52,0.28,0.48,0.02,3.7,1.4
41911,1_14706,00:23:01,14:46:57,00:23:01,14:46:31,ugriz,0.386,0.372,104,7,0.413,81,3,14.84,0.19,0.25,0.03,4.0,1.4
43403,1_15084,08:10:18,18:15:18,08:10:20,18:15:13,ugriz,0.422,0.418,130,10,0.423,94,3,14.94,0.17,0.23,0.03,4.7,1.7
46649,1_17215,01:35:17,08:47:50,01:35:17,08:48:14,ugriz,0.619,0.536,85,31,0.587,128,5,15.13,0.18,0.23,0.03,14.2,4.6
47981,1_17406,08:40:03,08:37:54,08:40:02,08:38:04,ugriz,0.543,0.551,136,33,0.54,69,3,14.83,0.3,0.53,0.02,6.9,2.6
50492,1_18933,23:16:43,12:46:55,23:16:46,12:47:12,ugriz,0.527,0.524,163,30,0.525,105,3,15.24,0.17,0.22,0.03,7.4,2.2
50514,1_18954,23:32:14,10:36:35,23:32:14,10:35:32,ugriz,0.466,0.463,82,13,0.475,73,3,14.5,0.29,0.53,0.03,3.6,1.3
52480,1_19778,09:34:39,05:41:45,09:34:37,05:40:53,ugriz,0.565,0.546,106,54,0.542,83,3,15.09,0.21,0.29,0.02,7.6,2.4
54795,1_21153,23:02:16,08:00:30,23:02:17,08:02:14,ugriz,0.428,0.429,125,35,0.435,73,3,14.57,0.27,0.46,0.03,5.9,1.6
55181,1_21510,00:45:12,−01:52:32,00:45:10,−01:51:49,ugriz,0.547,0.542,149,43,0.532,97,4,14.67,0.24,0.38,0.03,5.9,2.3
59915,1_23940,01:25:05,−05:31:05,01:25:01,−05:31:53,ugriz,0.475,0.489,143,25,0.472,98,3,15.17,0.15,0.18,0.03,3.9,1.4
64232,1_24833,00:42:33,−11:01:58,00:42:32,−11:04:07,ugriz,0.529,0.529,112,37,0.553,66,3,14.53,0.34,0.72,0.02,4.8,1.8
