name,z,ra,dec,chandra_id,xmm_obsid,r2500,r1000,r500,c_m2500,c_m2500_err,c_m1000,c_m1000_err,c_m500,c_m500_err,x_m2500,x_m2500_err,x_m1000,x_m1000_err,x_m500,x_m500_err,c_mg2500,c_mg2500_err,c_mg1000,c_mg1000_err,c_mg500,c_mg500_err,x_mg2500,x_mg2500_err,x_mg1000,x_mg1000_err,x_mg500,x_mg500_err,x_Tx500ce,x_Tx500ce-,x_Tx500ce+,x_Lxbol,x_Lxbol_err,r500wl
Abell2697,0.2319999999999999,0.799917,-6.09322,nan,0652010401,510.0,840.0,1200.0,,,,,,,243000000000000.03,15000000000000.0,438000000000000.0,38000000000000.0,629000000000000.0,65000000000000.0,,,,,,,27500000000000.004,899999999999.9999,56699999999999.99,2200000000000.0,88000000000000.0,3700000000000.0,6.992,0.375,0.4770000000000003,18.658,6.529,1.181
Abell0068,0.255,9.27546,9.15844,3250,0084230201,580.0,970.0,1400.0,385000000000000.0,157000000000000.0,722000000000000.0,279000000000000.0,1077000000000000.0,410000000000000.0,322000000000000.0,25000000000000.0,669000000000000.0,53000000000000.0,1044000000000000.0,86000000000000.0,32200000000000.0,7800000000000.0,61900000000000.0,11100000000000.0,90300000000000.0,13500000000000.0,31600000000000.0,100000000000.0,63300000000000.0,400000000000.0,92800000000000.0,800000000000.0,7.658,0.6220000000000008,0.7689999999999992,15.863,7.04,1.231
Abell2813,0.292,10.853,-20.6236,9409,0042340201,500.0,860.0,1240.0,254000000000000.0,60000000000000.0,499000000000000.0,112999999999999.98,764000000000000.0,171000000000000.0,204000000000000.0,25000000000000.0,407000000000000.0,46000000000000.0,632000000000000.0,68999999999999.99,30000000000000.0,4100000000000.0,64200000000000.0,6900000000000.001,101400000000000.0,9200000000000.0,28999999999999.996,500000000000.0,62500000000000.0,600000000000.0,99900000000000.0,700000000000.0,6.322,0.6980000000000004,0.9649999999999999,20.197,2.688,1.32
Abell0115S,0.1969999999999999,14.0012,26.3424,3233,0203220101,350.0,610.0,890.0,81000000000000.0,30000000000000.0,163000000000000.0,47000000000000.0,254000000000000.0,73000000000000.0,49000000000000.0,8000000000000.0,163000000000000.0,14000000000000.002,326000000000000.0,21000000000000.0,9100000000000.0,2400000000000.0,27000000000000.0,4900000000000.0,54600000000000.01,8900000000000.0,8599999999999.999,0.0,26400000000000.0,100000000000.0,51900000000000.0,300000000000.0,5.848,0.2999999999999998,0.3860000000000001,9.529,5.635,1.115
Abell141,0.23,16.3992,-24.6811,9410,nan,340.0,670.0,1020.0,81000000000000.0,51000000000000.0,233000000000000.0,96000000000000.0,397000000000000.0,137000000000000.02,,,,,,,8300000000000.0,3599999999999.9995,29500000000000.0,6400000000000.0,55000000000000.01,8400000000000.001,,,,,,,,,,,,
ZwCl0104.4+0048,0.254,16.7064,1.05611,10465,nan,340.0,540.0,760.0,71000000000000.0,3000000000000.0,115999999999999.98,5000000000000.0,167000000000000.0,7000000000000.001,,,,,,,23600000000000.0,400000000000.0,16100000000000.0,300000000000.0,23600000000000.0,400000000000.0,,,,,,,,,,,,
Abell0209,0.206,22.9722,-13.6122,"3579,522",0084230301,480.0,800.0,1150.0,196000000000000.0,38000000000000.0,364000000000000.0,69999999999999.99,547000000000000.0,107000000000000.0,172000000000000.0,7000000000000.001,345000000000000.0,12000000000000.0,545000000000000.0,18000000000000.0,24400000000000.0,2800000000000.0,56399999999999.99,5900000000000.0,97200000000000.0,9400000000000.0,22600000000000.0,100000000000.0,53100000000000.0,200000000000.0,90900000000000.0,300000000000.0,7.038,0.48300000000000054,0.6049999999999995,19.307,6.442,1.513
Abell0267,0.23,28.1763,1.01136,3580,0084230401,510.0,820.0,1170.0,248000000000000.0,80000000000000.0,415000000000000.06,129000000000000.0,597000000000000.0,184000000000000.0,,,,,,,23200000000000.0,3800000000000.0,44900000000000.0,6400000000000.0,70299999999999.99,9400000000000.0,,,,,,,,,,,,
Abell0291,0.196,30.4291,-2.19619,nan,0605000301,380.0,650.0,940.0,,,,,,,99000000000000.0,11000000000000.0,191000000000000.0,33000000000000.0,292000000000000.0,56000000000000.01,,,,,,,12300000000000.0,600000000000.0,24500000000000.0,1799999999999.9998,39100000000000.0,3100000000000.0,4.033,0.29300000000000015,0.32399999999999984,9.492,3.7780000000000005,1.092
Abell0383,0.188,42.0141,-3.52933,"2320,524",0084230501,480.0,750.0,1010.0,201000000000000.0,48000000000000.0,295000000000000.0,74000000000000.0,368000000000000.0,90000000000000.0,162000000000000.0,9000000000000.0,248000000000000.0,22000000000000.0,325000000000000.0,45000000000000.0,18000000000000.0,1799999999999.9998,30200000000000.0,2600000000000.0,42500000000000.0,3599999999999.9995,17499999999999.998,100000000000.0,30000000000000.0,100000000000.0,43300000000000.0,200000000000.0,4.574,0.3380000000000001,0.41999999999999993,12.795,4.204,1.144
Abell0521,0.248,73.5343,-10.2399,430,0603890101,270.0,770.0,1230.0,170000000000000.0,43000000000000.0,421000000000000.0,93000000000000.0,678000000000000.0,148000000000000.0,34000000000000.004,2000000000000.0,344000000000000.0,17000000000000.002,705000000000000.0,34000000000000.004,23000000000000.0,3900000000000.0,62600000000000.0,6800000000000.001,102699999999999.98,8800000000000.0,5300000000000.0,0.0,57899999999999.99,100000000000.0,119800000000000.0,300000000000.0,6.718,0.2939999999999996,0.33399999999999963,19.036,6.368,1.149
Abell0586,0.171,113.086,31.6311,"530,11723",0605000801,490.0,780.0,1080.0,208000000000000.0,32000000000000.0,327000000000000.0,63000000000000.0,442000000000000.0,90000000000000.0,,,,,,,22100000000000.0,1600000000000.0,40200000000000.0,3300000000000.0,60000000000000.0,4900000000000.0,,,,,,,,,,,,
Abell0611,0.288,120.236,36.056,3194,0605000601,510.0,840.0,1200.0,268000000000000.03,45000000000000.0,466000000000000.0,75000000000000.0,680000000000000.0,108000000000000.0,,,,,,,61200000000000.0,3900000000000.0,40600000000000.0,2800000000000.0,61200000000000.0,3900000000000.0,,,,,,,,,,,,
Abell0697,0.282,130.74,36.3667,4217,0605000701,600.0,1030.0,1500.0,421000000000000.0,107000000000000.0,852999999999999.9,186000000000000.0,1314000000000000.0,274000000000000.03,,,,,,,42300000000000.0,5900000000000.0,93600000000000.0,9500000000000.0,148500000000000.0,12700000000000.0,,,,,,,,,,,,
ZwCl0857.9+2107,0.235,135.154,20.8949,10463,0402250701,420.0,660.0,910.0,189000000000000.0,149000000000000.0,365000000000000.0,281000000000000.0,559000000000000.0,399000000000000.0,119000000000000.0,11000000000000.0,181000000000000.0,18000000000000.0,233000000000000.0,23000000000000.0,19000000000000.0,7600000000000.0,41200000000000.0,15100000000000.0,67500000000000.01,18700000000000.0,15400000000000.0,100000000000.0,26300000000000.0,200000000000.0,38200000000000.0,400000000000.0,4.068,0.2769999999999997,0.3070000000000004,17.624,3.1519999999999997,0.83
Abell0750,0.163,137.303,10.9741,924,0605000901,470.0,720.0,960.0,181000000000000.0,51000000000000.0,261000000000000.0,95000000000000.0,317000000000000.0,122000000000000.0,,,,,,,15400000000000.0,2000000000000.0,27700000000000.004,4100000000000.0,40600000000000.0,6100000000000.0,,,,,,,,,,,,
Abell0773,0.217,139.469,51.7273,"533,3588,5066",0084230601,560.0,880.0,1210.0,323000000000000.0,55000000000000.01,492000000000000.0,94000000000000.0,651000000000000.0,162000000000000.0,300000000000000.0,27000000000000.0,548000000000000.06,59000000000000.0,777000000000000.0,94000000000000.0,31700000000000.0,3000000000000.0,59900000000000.0,5600000000000.0,90700000000000.0,10200000000000.0,30700000000000.0,100000000000.0,58900000000000.0,200000000000.0,86900000000000.0,300000000000.0,7.525,0.6220000000000008,0.7919999999999998,18.319,6.795,1.428
