name,planck_ra,planck_dec,xmm_ra,xmm_dec,z,r500,m500,m500+,m500-,mg500,mg500+,mg500-,Tx,Tx+,Tx-,Txce,Txce+,Txce-,Lx124,Lx124+,Lx124-,Lx124ce,Lx124ce+,Lx124ce-,Lxbol,Lxbol+,Lxbol-,Lxbolce,Lxbolce+,Lxbolce-,NT,fT,Nsb,fsb
G000.44-41.83,316.051,-41.325,316.076,-41.3459,0.165,1114,5.01,0.55,0.48,6.61,0.36,0.33,5.85,0.32,0.32,5.82,0.43,0.43,3.79,0.25,0.25,2.88,0.13,0.13,8.36,0.78,0.78,6.36,0.47,0.47,6,1.0,20,1.21
G002.74-56.18,334.681,-38.892,334.66592,-38.8999,0.141,1106,4.96,0.43,0.28,5.63,0.21,0.14,5.36,0.12,0.12,5.39,0.18,0.18,4.47,0.16,0.16,2.71,0.07,0.07,9.96,0.49,0.49,6.03,0.23,0.23,10,0.94,49,1.08
G003.90-59.41,338.618,-37.752,338.6165,-37.731483,0.151,1270,6.94,0.19,0.19,8.65,0.08,0.08,7.06,0.13,0.13,6.46,0.14,0.14,7.13,0.24,0.24,4.61,0.17,0.17,18.06,0.67,0.67,11.62,0.43,0.43,10,0.98,63,1.08
G006.70-35.54,308.691,-35.81,308.68604,-35.816757,0.089,1065,2.42,0.04,0.03,4.27,0.05,0.08,4.72,0.08,0.08,4.62,0.09,0.09,2.44,0.09,0.09,2.08,0.08,0.08,4.67,0.25,0.25,3.98,0.21,0.21,15,1.14,45,1.18
G006.78+30.46,243.952,-6.132,243.93959,-6.150542,0.203,1817,17.56,0.28,0.27,32.0,0.24,0.22,14.37,0.12,0.12,15.01,0.16,0.16,23.84,0.36,0.36,16.55,0.13,0.13,86.79,1.74,1.74,60.27,0.84,0.84,19,1.26,171,1.62
G008.44-56.35,334.462,-35.729,334.44,-35.725,0.149,1061,3.61,0.08,0.07,4.64,0.05,0.04,5.12,0.08,0.08,4.91,0.1,0.1,3.47,0.12,0.12,2.31,0.08,0.08,6.78,0.34,0.34,4.54,0.22,0.22,8,1.1,41,1.24
G008.93-81.23,3.576,-30.384,3.5788963,-30.392065,0.307,1360,10.39,0.24,0.23,15.64,0.13,0.13,8.78,0.09,0.09,8.43,0.1,0.1,13.12,0.31,0.31,9.72,0.17,0.17,36.54,1.21,1.21,27.09,0.7,0.7,8,0.97,78,1.03
G021.09+33.25,248.179,5.587,248.19499,5.575986,0.151,1323,6.88,0.2,0.18,10.45,0.32,0.35,6.25,0.14,0.14,8.77,0.31,0.31,16.07,0.18,0.18,6.84,0.1,0.1,38.83,0.55,0.55,16.51,0.25,0.25,10,1.21,86,1.24
G036.72+14.92,271.136,10.036,271.13034,10.056985,0.152,1241,5.21,0.32,0.29,8.16,0.29,0.28,7.44,0.66,0.66,6.89,1.02,1.02,5.97,0.27,0.27,4.0,0.17,0.17,15.59,1.11,1.11,10.43,0.71,0.71,3,0.51,9,0.87
G039.85-39.98,321.776,-12.169,321.80273,-12.162844,0.176,1077,3.77,0.47,0.17,5.32,0.36,0.17,5.89,0.14,0.14,5.82,0.16,0.16,2.91,0.12,0.12,2.02,0.1,0.1,6.54,0.32,0.32,5.69,0.28,0.28,7,1.22,71,1.43
G042.82+56.61,230.61,27.703,230.62225,27.70657,0.072,1189,4.65,0.15,0.13,6.01,0.08,0.07,4.83,0.07,0.07,4.79,0.09,0.09,3.18,0.08,0.08,2.24,0.05,0.05,6.74,0.22,0.22,4.74,0.14,0.14,15,0.74,42,0.88
G046.08+27.18,262.918,22.855,262.911,22.865986,0.389,1148,6.26,0.61,0.48,9.9,0.35,0.3,5.93,0.3,0.3,5.65,0.29,0.29,7.51,0.41,0.41,6.26,0.28,0.28,17.12,1.47,1.47,14.28,1.1,1.1,3,1.08,15,1.17
G046.50-49.43,332.573,-12.158,332.57672,-12.170207,0.085,1194,6.05,0.28,0.26,6.24,0.09,0.08,5.59,0.12,0.12,5.21,0.14,0.14,3.34,0.12,0.12,2.28,0.07,0.07,7.95,0.39,0.39,5.43,0.23,0.23,15,0.67,58,0.75
G049.20+30.86,260.032,26.614,260.04105,26.625568,0.164,1241,5.86,0.16,0.16,6.51,0.07,0.07,5.47,0.08,0.08,6.28,0.17,0.17,8.7,0.18,0.18,3.83,0.06,0.06,22.46,0.74,0.74,9.89,0.29,0.29,8,0.99,24,0.99
G049.33+44.38,245.13,29.905,245.127,29.8934,0.097,1049,3.84,0.46,0.38,3.85,0.18,0.17,4.9,0.17,0.17,4.8,0.23,0.23,1.68,0.08,0.08,1.22,0.04,0.04,3.6,0.23,0.23,2.63,0.13,0.13,8,0.61,26,0.82
G049.66-49.50,333.647,-10.392,333.63214,-10.371457,0.098,1090,4.81,0.21,0.19,4.41,0.08,0.08,4.64,0.08,0.08,4.81,0.14,0.14,3.44,0.12,0.12,1.74,0.05,0.05,7.26,0.33,0.33,3.67,0.15,0.15,10,0.68,36,0.68
G053.52+59.54,227.534,33.485,227.5509,33.51046,0.113,1189,5.87,0.2,0.15,7.03,0.1,0.08,6.58,0.14,0.14,6.31,0.16,0.16,4.08,0.11,0.11,3.08,0.04,0.04,9.74,0.4,0.4,7.33,0.2,0.2,5,0.81,38,0.96
G055.60+31.86,260.612,32.143,260.61337,32.13243,0.224,1234,6.54,0.18,0.15,9.41,0.12,0.1,7.39,0.11,0.11,7.3,0.14,0.14,10.06,0.3,0.3,5.34,0.21,0.21,25.87,0.85,0.85,13.65,0.56,0.56,9,1.03,53,1.1
G055.97-34.88,323.827,1.431,323.8168,1.415208,0.124,1110,5.41,0.45,0.37,3.44,0.09,0.09,6.25,0.37,0.37,5.5,0.37,0.37,2.11,0.08,0.08,1.54,0.07,0.07,5.47,0.32,0.32,4.01,0.22,0.22,7,0.42,18,0.51
G056.81+36.31,255.678,34.081,255.67712,34.061237,0.095,1098,3.98,0.08,0.07,5.12,0.04,0.04,4.98,0.05,0.05,4.83,0.07,0.07,4.34,0.12,0.12,2.35,0.06,0.06,9.3,0.31,0.31,5.05,0.17,0.17,15,1.01,99,1.1
