name,MEM_MATCH_ID,xapa_ra,xapa_dec,z,r2500,Tx,Tx-,Tx+,Lx52,Lx52-,Lx52+,Lx,Lx-,Lx+,richness,richness_err,XCS_NAME
SDSSXCS-48092,48092,0.64920033,-2.0409846000000003,0.3864645,0.8234976928499294,2.13292,0.1667818147791748,0.3728250892208251,0.168884361,0.008374616461617,0.0092800280071532,0.4063047088,0.0267836103627868,0.027272661039313,21.315413,3.0348387,XMMXCS J000235.8-020227.5
SDSSXCS-124,124,0.80057775,-6.0918182,0.2474828,2.2968084520968293,7.19013,0.1147806877646484,0.1152504032353514,3.843996279,0.0147632863218167,0.0150421412772474,15.8183187,0.1532638403662822,0.1560504100755064,109.550186,4.4896803,XMMXCS J000312.1-060530.5
SDSSXCS-2789,2789,0.95553986,2.068019,0.105285384,3.7883865186736583,4.43269,0.0650297815852054,0.065420056414795,0.6814344603,0.0030633972821947,0.0028007317463684,2.179112233,0.0171520530781128,0.0185090948175501,38.904396000000006,2.8302057,XMMXCS J000349.3+020404.8
SDSSXCS-290,290,2.7226392,29.161021,0.34849474,1.3960302872329136,5.00741,0.2248138814384761,0.2289582355615236,2.07573816,0.034854341727887,0.0392991637773327,7.045864222,0.1809827908436929,0.2014147890557938,105.09573,5.9943213,XMMXCS J001053.4+290939.6
SDSSXCS-1018,1018,4.4063253,-0.87619162,0.21440332,1.9104226460972837,4.14183,0.1056406194987795,0.1065732145012203,0.5995104454,0.0059202603441081,0.0059002967812641,1.856513881,0.0299810754228986,0.0288091682674302,56.996796,3.2192018,XMMXCS J001737.5-005234.2
SDSSXCS-182231,182231,4.5696463,16.29399,0.56016606,0.9496544166517936,5.00177,0.3775872645312503,0.3899480964687498,0.5972792473,0.0171950251261879,0.0162655029650267,2.026238906,0.0872950390182785,0.0895384380463482,24.488447,9.08344,XMMXCS J001816.7+161738.3
SDSSXCS-3056,3056,4.6383647,16.436106,0.5697285,1.3395847003923214,9.5457,0.206083021242188,0.2075487717578124,7.956372749,0.0500754031020038,0.0472532545986634,38.5322173,0.5045200793849531,0.4998194362667121,143.67557,28.066143,XMMXCS J001833.2+162609.9
SDSSXCS-134,134,4.9083898,3.6098177,0.27730444,2.019534871973311,6.90187,0.1557666238647463,0.1220567361352538,3.590671302,0.0152249504440624,0.0159052253982494,14.45702692,0.1490378448576361,0.1389696129628603,108.60438,4.7924843,XMMXCS J001938.0+033635.3
SDSSXCS-181,181,6.649673700000001,17.158534,0.4040254,1.094897969700797,4.03601,0.1133401615131837,0.115173157486816,0.9735191593,0.0132929823963866,0.0134808995709702,2.978381241,0.0514380670371599,0.0484960112637713,137.11592,7.5277963,XMMXCS J002635.9+170930.7
SDSSXCS-107358,107358,6.708177799999999,17.325295,0.5154053,0.8944189423074907,3.72077,0.5987946502021484,0.8749408547978517,0.1608990517,0.0128265753010544,0.0134464656054012,0.4744843977,0.0649431914400333,0.0614408814927059,20.23231,5.259563,XMMXCS J002649.9+171931.0
SDSSXCS-3148,3148,6.862634700000001,26.117727,0.36016464,1.3990246921630507,5.25796,0.2833811916818849,0.4129108983181151,2.575325793,0.0568875609997077,0.0617272274442823,8.965274361,0.2873734981191784,0.2777803505451235,41.17739,3.8751066,XMMXCS J002727.0+260703.8
SDSSXCS-17711,17711,7.4750679,35.085871000000004,0.5208681,0.8795552207673648,3.92624,1.3844676313461912,2.715972662653809,0.2370545436,0.0466969950062085,0.040791051608093,0.7161003338,0.212638226171828,0.1883465845834608,43.05375,10.029583,XMMXCS J002954.0+350509.1
SDSSXCS-22180,22180,7.6413379,26.302045,0.4932348,1.0990969754658904,5.48125,0.2216396322651368,0.2634290987348633,0.9946149238,0.0141146539368841,0.0141691294855835,3.538856168,0.0925980872394842,0.0964065888038798,55.822166,10.162076,XMMXCS J003033.9+261807.3
SDSSXCS-7,7,8.0473453,18.135104,0.39764652,1.7837245915689386,9.34422,0.6628184074379888,0.6707204585620126,4.096241316,0.071991881216328,0.0697118567102599,19.58852021,0.9066596392147376,0.8121555050772749,248.38571,11.995387,XMMXCS J003211.3+180806.3
SDSSXCS-119,119,8.464699000000001,-7.8629006,0.3041736,1.6196375285898903,5.3685,0.3580330676965335,0.5405745893034668,1.201819769,0.0277353196963807,0.0272391185423386,4.230136675,0.178157613139354,0.1649908476965835,128.19176000000002,5.6970525,XMMXCS J003351.5-075146.4
SDSSXCS-1519,1519,8.6122306,2.4231047,0.3679261,1.5006353383860658,6.18258,0.43817338720166,0.44502338779834,3.480300246,0.0774164698484676,0.0808070986773099,13.18045382,0.5479193196424266,0.5763198745287408,80.94710500000001,5.878697,XMMXCS J003426.9+022523.1
SDSSXCS-755,755,8.7361992,2.5661037,0.39722452,1.4072022320829738,6.05835,0.2938301122121585,0.298703865787842,2.884663204,0.0463358443069652,0.0474956683139962,10.80641484,0.2831969970523662,0.2969715637721801,92.617165,5.7221265,XMMXCS J003456.6+023357.9
SDSSXCS-209,209,9.2768176,9.1571879,0.26882175,2.342537669291809,8.47771,0.160673309202636,0.1858361517973641,3.257756001,0.0174367364348664,0.0177092367875184,14.73470794,0.1689402068601406,0.1708494978591197,101.70913,4.746494,XMMXCS J003706.4+090925.8
SDSSXCS-20342,20342,9.671394,0.79429046,0.39849165,0.9073936533863968,2.74008,0.5940315061793213,1.051153336820679,0.0687416262,0.0061007091908876,0.0081296304504936,0.1794108649,0.0270464967031928,0.0297574954160104,27.722502,4.0981812,XMMXCS J003841.1+004739.4
SDSSXCS-36444,36444,9.9264527,0.75981151,0.41298866,0.8333509053674472,2.46718,0.3544711256566164,0.4731296713433837,0.1442267537,0.008993710266627,0.0100986621201521,0.3631319555,0.032546451201345,0.0329480022432198,23.954523,3.3649588,XMMXCS J003942.3+004535.3
